NOMBRE_CAMPO,LONGITUD,TIPO,NEMÓNICO,CATÁLOGO,RANGO_CLAVES                                                              
Entidad Registro,2,N,ent_regis,decateml,"01 - 32	"
Municipio Registro,3,N,mun_regis,decateml,001-570                                                                 
Entidad Residencia,2,N,ent_resid,decateml,"01-35, 99                                                               "
Municipio Residencia,3,N,mun_resid,decateml,"001-570, 999                                                            "
Tamaño Localidad Residencia,2,N,tloc_resid,detamloc,"01-17,99                                                                "
Clave Localidad de Residencia,4,N,loc_resid,decateml,"0001 - 6999, 9999                                                       "
Entidad Ocurrencia,2,N,ent_ocurr,decateml,"01-35,99                                                                "
Municipio Ocurrencia,3,N,mun_ocurr,decateml,"001-570,999                                                             "
Tamaño de Localidad Ocurrencia,2,N,tloc_ocurr,detamloc,"01-17,99                                                                "
Clave Localidad de Ocurrencia,4,N,loc_ocur,decateml,"0001 - 6999, 9999                                                       "
Causa Defunción (Lista Detallada),4,A,causa_def,decatcausa,                                                                          
Causa Defunción (Lista Mexicana),3,A,lista_mex,delistamex,                                                                          
Sexo,1,N,sexo,desexo,"1-2,9                                                                   "
Edad,4,N,edad,deedad,"1001-1023, 1097,1098, 2001-2029,2098, 3001-3011,3098, 4001-4120, 4998   "
Día Defunción,2,N,dia_ocurr,dedias,"01-31,99                                                                "
Mes Defunción,2,N,mes_ocurr,demeses,"01-12, 99                                                               "
Año Defunción,4,N,anio_ocur,deaño,"1900-Año estadística, 9999                                              "
Día Registro,2,N,dia_regis,dedias,"01-31,99                                                                "
Mes Registro,2,N,mes_regis,demeses,"01-12	"
Año Registro,4,N,anio_regis,deaño,Año estadística                                                           
Día Nacimiento,2,N,dia_nacim,dedias,"01-31,99                                                                "
Mes Nacimiento,2,N,mes_nacim,demeses,"01-12,99                                                                "
Año Nacimiento,4,N,anio_nacim,deaño,"1900-Año estadística, 9999                                              "
Ocupación ,2,N,ocupacion,deocupa,"1 - 11, 97, 98, 99                                                      "
Escolaridad,2,N,escolarida,deesco,"1-10, 88, 99                                                            "
Estado Conyugal,1,N,edo_civil,deedocony,"1-6, 8, 9                                                               "
Presunto,1,N,presunto,depresunto,"1-5, 8                                                                  "
Ocurrió Trabajo,1,N,ocurr_trab,deocutrab,"1-2, 8, 9                                                               "
Sitio donde Ocurrio la Lesión,2,N,lugar_ocur,desitiolesion  ,"0 - 9, 88                                                               "
Necropsia,1,N,necropsia,denecrop,"1-2,  9                                                                 "
Asistencia Médica,1,N,asist_medi,deasismed,"1-2,9                                                                   "
Sitio donde Ocurrio la Defunción,2,N,sitio_ocur,desitiodefun,"1-12,99                                                                 "
Certificada Por,1,N,cond_cert,deccertif,"1-5, 8, 9                                                               "
Nacionalidad,1,N,nacionalid,denacion,"1-2, 9                                                                  "
Derechohabiencia,2,N,derechohab,dederech,"1-9, 99                                                                 "
Condición de embarazo,1,N,embarazo,decondemba,"1-6, 8                                                                  "
Causas relacionadas con embarazo,1,N,rel_emba,derelemba,"1,2, 8                                                                  "
Hora de la defunción,2,N,horas,dehoradef,"00-23, 99                                                               "
Minuto de la defunción,2,N,minutos,demindef,"00-59, 99                                                               "
Capitulo,2,N,capitulo,decapgpo,                                                                          
Grupo,2,N,grupo,decapgpo,                                                                          
Lista1,3,A,lista1,delista1,                                                                          
Grupos lista mexicana,3,A,gr_lismex,degpolisme,                                                                          
Violencia Familiar,1,N,vio_fami,deviofam,"1, 2, 8, 9                                                              "
Area Urbano Rural,1,N,area_ur,deurbrur,"1, 2, 9                                                                 "
Edad agrupada,2,C,edad_agru,deedadagrup,"01-30	"
Complicaron el embarazo,1,N,complicaro,decomplicaemba ,"1, 2, 8                                                                 "
Día de Certificación,2,N,dia_cert,dedias,"01-31,99                                                                "
Mes de Certificación,2,N,mes_cert,demeses,"01-12, 99                                                               "
Año de Certificación,4,N,anio_cert,deaño,"AE* -1, AE*, 9999                                                       "
Maternas,4,C,maternas,decatcausa,                                                                          
Lengua indígena,1,N,lengua,delengindi,"1, 2, 9                                                                 "
Condición de Actividad económica,1,N,cond_act,decondact,"1, 2, 8, 9                                                              "
Parentesco del presunto agresor,2,N,par_agre,deparenagresor ,"1 - 72, 88, 99                                                          "
Entidad Ocurrencia de la lesión,2,N,ent_ocules,decateml,"01-35,88, 99                                                            "
Municipio Ocurrencia de la lesión,3,N,mun_ocules,decateml,"001-570, 888, 999                                                       "
Clave Localidad de Ocurrencia de la lesión,4,N,loc_ocules,decateml,"0001 - 6999, 8888 9999                                                  "
Razón Materna,1,N,razon_m,derazonm,"0, 1	"
Distritos de Oaxaca,3,N,dis_re_oax,decateml,"901-930,999"
